Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-01-2019 00:00,6.27,22.86,2.14,34.48,3.48,24.32,43.96,14.45,48.06,1.83,4.98,4.19,4.19,5.67,1.17,15.71,1.36,9.57,4.04,1.35,1.52,1.04,40.09,1.91,7.07,0.48,8.05,1.84,56.72,2.73,11.89,14.84,14.84,3.03,3.46,3.16
01-01-2019 08:00,47.42,22.68,61.34,34.65,55.03,25.78,45.51,81.58,70.08,46.55,9.84,22.9,22.9,41.58,45.86,33.93,36.72,17.44,48.74,84.37,50.71,8.49,37.46,32.41,25.59,21.15,36.81,22.25,43.67,54.34,36.73,59.43,59.43,8.01,41.84,31.46
01-01-2019 16:00,16.23,26.04,13.69,34.39,22.29,25.64,48.88,23.65,56.17,8.37,5.31,7.53,7.53,12.97,13.42,18.17,8.21,12.86,19.41,29.71,10.29,3.27,35.5,11.86,11.52,5.57,11.49,2.84,71.32,17.7,21.98,27.32,27.32,3.13,14.34,6.85
02-01-2019 00:00,1.32,61.84,7.34,33.72,5.8,24.47,42.64,16.42,48.69,1.99,3.34,4.22,4.22,8.52,3.83,16.28,3.56,11.95,7.28,1.69,1.13,3.92,43,5.89,9.06,8.03,11.42,8.44,59.33,7,11.05,10.98,10.98,2.82,4.91,3.9
02-01-2019 08:00,50.98,34.37,65.12,36.32,65.72,27.4,58.14,102.95,65.93,51.59,16.12,16.51,16.51,42.53,38.28,35.31,35.5,17.37,48.38,94.82,36.88,12.64,44.08,54.4,29.24,27.91,47.47,46.92,51.28,50.72,47.78,59.2,59.2,6.08,35.3,33.13
02-01-2019 16:00,14.65,26.71,8.43,38.05,19.38,25.64,48.61,57.11,53.25,10.19,7.39,4.77,4.77,12.33,8.21,17.76,6.58,11.73,14.34,32.33,4.51,74.21,37.55,14.58,9.77,5.03,18.24,1.75,79.93,13.16,17.3,15.21,15.21,2.83,7.24,6.47
03-01-2019 00:00,1.86,26.14,3.18,35.61,3.56,26.09,43.75,11.11,48.13,2.69,4.07,4.22,4.22,12.44,2.34,15,2.24,9.26,4.4,1.29,0.54,39.57,48.26,4.18,7.62,1.48,8.61,1.98,51.83,3.98,9.09,9.15,9.15,2.8,3.38,3.76
03-01-2019 08:00,36.95,23.51,47.32,40.66,30.14,32.39,43.54,65.76,64.78,21.76,5.14,21.5,21.5,29.49,42.33,30.1,45.69,16.27,25.22,46.33,25.02,32.46,37.17,13.85,20.23,20.37,23.41,15.48,41.63,45.41,26.98,62.33,62.33,55.6,28.75,22.83
03-01-2019 16:00,19.8,21.18,15.32,38.29,16.68,30.15,42.34,32.43,47.98,15.76,5.59,7.9,7.9,14.99,12.85,19.91,10.31,9.21,24.9,37.79,11.35,23.2,36.66,17.62,8.33,4.3,16.09,5.13,32.4,32.77,18.43,29.09,29.09,27,14.15,7.63
04-01-2019 00:00,7.24,19.49,3.84,35.27,14.27,23.98,42.11,7.73,36.91,4.09,2.47,4.21,4.21,5.69,1.69,14.96,1.5,7.17,10.53,12.11,6.33,13.41,30.16,4.53,5.49,0.56,7.57,2.61,27.73,15.26,10.34,6.81,6.81,4.85,3.61,4.5
